,formulas,rmse,pearson_coeff,pval
213,(EA_A + IP_B**3)/((rp_A**3)),0.06522137949485662,-0.8419555222673689,3.8365270812839095e-23
214,(EA_A + IP_B**3)/((rp_B**2)),0.2048373842467453,0.1578876351462489,0.15657440094453762
215,(EA_A + IP_B**3)/((rp_B**3)),0.2047417122915601,0.1577537880797107,0.15693046305671174
216,(EA_A + IP_B**3)/((rs_A**2)),0.1917979678833646,-0.37241195228690327,0.0005702589419446404
217,(EA_A + IP_B**3)/((rs_A**3)),0.1377119152312752,-0.6439401542383434,6.750969056280248e-11
218,(EA_A + IP_B**3)/((rs_B**2)),0.2041750952230733,0.16883339092893135,0.12944649739521355
219,(EA_A + IP_B**3)/((rs_B**3)),0.2043353447518796,0.16475554207899637,0.13910036087315872
220,(EA_A + IP_B**3)/(exp(EA_A)),0.2064940987139998,0.1284543919237506,0.2500949770298119
221,(EA_A + IP_B**3)/(exp(EA_B)),0.1985995150861655,0.24015318534988675,0.029764890865915845
222,(EA_A + IP_B**3)/(exp(IP_A)),0.2202988959445211,-0.32065482014168595,0.0033134936095641832
223,(EA_A + IP_B**3)/(exp(IP_B)),0.2046185410597925,0.1521671835666737,0.1723345757984241
224,(EA_A + IP_B**3)/(exp(Z_A)),0.2155092762425807,0.0007181549447851732,0.9948909145852805
225,(EA_A + IP_B**3)/(exp(Z_B)),0.1799630178020197,-0.4537589791589194,1.8569116516356728e-05
226,(EA_A + IP_B**3)/(exp(rp_A)),0.1934060693156673,-0.3367717670299073,0.001976873771516278
227,(EA_A + IP_B**3)/(exp(rp_B)),0.203999635829124,0.17469072319395607,0.11648423741835338
228,(EA_A + IP_B**3)/(exp(rs_A)),0.2093904301527341,-0.11836622732661556,0.2895426518409741
229,(EA_A + IP_B**3)/(exp(rs_B)),0.2030183727638765,0.1888097306713549,0.08935435463053401
230,(EA_A + IP_B**3)/(sqrt(fabs(EA_A))),0.2122338922217593,0.11847117476874505,0.28911221983489516
231,(EA_A + IP_B**3)/(sqrt(fabs(EA_B))),0.2086591627897529,0.09850327669442573,0.37862358292967147
232,(EA_A + IP_B**3)/(sqrt(fabs(IP_A))),0.1973975226619096,0.2559962079284679,0.020266219997508668
233,(EA_A + IP_B**3)/(sqrt(fabs(IP_B))),0.2009119901283915,0.2175086289487942,0.04965121018373301
234,(EA_A + IP_B**3)/(sqrt(fabs(Z_A))),0.2109231265150298,0.026792676016520245,0.8111550365110038
235,(EA_A + IP_B**3)/(sqrt(fabs(Z_B))),0.2072744852022811,0.12183671592497164,0.27553295021039065
236,(EA_A + IP_B**3)/(sqrt(fabs(rp_A))),0.2101590964760801,0.064681327550058,0.5637181984027528
237,(EA_A + IP_B**3)/(sqrt(fabs(rp_B))),0.2033478785204529,0.18381015684752783,0.09832356539917463
238,(EA_A + IP_B**3)/(sqrt(fabs(rs_A))),0.2086194803031601,0.10036485639955739,0.36963457368860625
239,(EA_A + IP_B**3)/(sqrt(fabs(rs_B))),0.2026391975715,0.193795597123867,0.08106627017641511
240,(EA_A + exp(EA_B))/((EA_A**2)),0.2152350077704558,0.053610339846107025,0.6323984570549763
241,(EA_A + exp(EA_B))/((EA_A**3)),0.1616009923181391,-0.5078970019203118,1.1123929850557905e-06
242,(EA_A + exp(EA_B))/((EA_B**2)),0.1964077154996953,-0.3239855189879841,0.002984728387797766
243,(EA_A + exp(EA_B))/((EA_B**3)),0.1910031646321879,0.3720262413808101,0.0005784327304349215
244,(EA_A + exp(EA_B))/((IP_A**2)),0.2076889863559133,0.13050148996356936,0.24256294478755167
245,(EA_A + exp(EA_B))/((IP_A**3)),0.2044358189477889,-0.18127341634347327,0.1031366049992576
246,(EA_A + exp(EA_B))/((IP_B**2)),0.2100562605167814,-0.03853075945305286,0.7310853898219632
247,(EA_A + exp(EA_B))/((IP_B**3)),0.2095052552461267,0.05232746868648778,0.6405778440586446
248,(EA_A + exp(EA_B))/((Z_A**2)),0.2071235007800204,0.116475510813198,0.29736976315502156
249,(EA_A + exp(EA_B))/((Z_A**3)),0.2062766832080343,0.12104915109296414,0.2786716761736093
250,(EA_A + exp(EA_B))/((Z_B**2)),0.2095991491558072,-0.20226849459827773,0.06839634630953913
251,(EA_A + exp(EA_B))/((Z_B**3)),0.2040771840476984,-0.28559643743150104,0.009298100350079868
252,(EA_A + exp(EA_B))/((rp_A**2)),0.227047349298922,-0.22004144890463428,0.04699020399786046
253,(EA_A + exp(EA_B))/((rp_A**3)),0.2454344002378945,-0.4235152096318158,7.354994195350426e-05
